i,j,sponsor,cosponsor,sponsor_id,cosponsor_id,count
1,2,DA(HI-D),LA(TN-R),14400,40304,0
1,3,DA(HI-D),AA(CO-R),14400,29108,0
1,4,DA(HI-D),GA(VA-R),14400,29148,5
1,5,DA(HI-D),EB(IN-D),14400,49901,5
1,6,DA(HI-D),JB(DE-D),14400,14101,0
1,7,DA(HI-D),JB(NM-D),14400,14912,15
1,8,DA(HI-D),CB(MO-R),14400,15501,0
1,9,DA(HI-D),BB(CA-D),14400,15011,0
1,10,DA(HI-D),SB(KS-R),14400,29523,5
1,11,DA(HI-D),JB(KY-R),14400,15406,5
1,12,DA(HI-D),CB(MT-R),14400,15701,0
1,13,DA(HI-D),RB(WV-D),14400,1366,0
1,14,DA(HI-D),MC(WA-D),14400,39310,0
1,15,DA(HI-D),TC(DE-D),14400,15015,7
1,16,DA(HI-D),LC(RI-R),14400,49905,0
1,17,DA(HI-D),SC(GA-R),14400,29512,5
1,18,DA(HI-D),HC(NY-D),14400,40105,10
1,19,DA(HI-D),TC(MS-R),14400,14009,0
1,20,DA(HI-D),NC(MN-R),14400,40302,0
1,21,DA(HI-D),SC(ME-R),14400,49703,7
1,22,DA(HI-D),KC(ND-D),14400,15502,0
1,23,DA(HI-D),JC(TX-R),14400,40305,0
1,24,DA(HI-D),JC(NJ-D),14400,40104,5
1,25,DA(HI-D),MC(ID-R),14400,29345,0
1,26,DA(HI-D),MD(MN-D),14400,40101,10
1,27,DA(HI-D),MD(OH-R),14400,15020,0
1,28,DA(HI-D),ED(NC-R),14400,40303,0
1,29,DA(HI-D),PD(NM-R),14400,14103,5
1,30,DA(HI-D),BD(ND-D),14400,14812,25
1,31,DA(HI-D),RD(IL-D),14400,15021,47
1,32,DA(HI-D),JE(NC-D),14400,49902,0
1,33,DA(HI-D),JE(NV-R),14400,29537,0
1,34,DA(HI-D),ME(WY-R),14400,49706,0
1,35,DA(HI-D),RF(WI-D),14400,49309,0
1,36,DA(HI-D),DF(CA-D),14400,49300,10
1,37,DA(HI-D),PF(IL-R),14400,49900,5
1,38,DA(HI-D),LG(SC-R),14400,29566,0
1,39,DA(HI-D),CG(IA-R),14400,14226,5
1,40,DA(HI-D),CH(NE-R),14400,49704,0
1,41,DA(HI-D),TH(IA-D),14400,14230,0
1,42,DA(HI-D),OH(UT-R),14400,14503,5
1,43,DA(HI-D),KH(TX-R),14400,49306,0
1,44,DA(HI-D),JI(OK-R),14400,15424,0
1,45,DA(HI-D),JJ(VT-I),14400,94240,0
1,46,DA(HI-D),TJ(SD-D),14400,15425,5
1,47,DA(HI-D),EK(MA-D),14400,10808,0
1,48,DA(HI-D),HK(WI-D),14400,15703,0
1,49,DA(HI-D),JK(AZ-R),14400,15429,5
1,50,DA(HI-D),ML(LA-D),14400,49702,5
1,51,DA(HI-D),FL(NJ-D),14400,14914,22
1,52,DA(HI-D),CL(MI-D),14400,14709,15
1,53,DA(HI-D),JL(CT-D),14400,15704,10
1,54,DA(HI-D),BL(AR-D),14400,29305,0
1,55,DA(HI-D),TL(MS-R),14400,14031,0
1,56,DA(HI-D),JM(AZ-R),14400,15039,0
1,57,DA(HI-D),BM(MD-D),14400,14440,0
1,58,DA(HI-D),ZM(GA-D),14400,49904,0
1,59,DA(HI-D),LM(AK-R),14400,40300,0
1,60,DA(HI-D),PM(WA-D),14400,49308,0
1,61,DA(HI-D),BN(FL-D),14400,14651,0
1,62,DA(HI-D),EN(NE-D),14400,40103,0
1,63,DA(HI-D),DN(OK-R),14400,14908,0
1,64,DA(HI-D),MP(AR-D),14400,40301,5
1,65,DA(HI-D),PR(KS-R),14400,14852,5
1,66,DA(HI-D),RS(PA-R),14400,29141,0
1,67,DA(HI-D),PS(MD-D),14400,13039,5
1,68,DA(HI-D),CS(NY-D),14400,14858,5
1,69,DA(HI-D),JS(AL-R),14400,49700,0
1,70,DA(HI-D),RS(AL-R),14400,94659,0
1,71,DA(HI-D),GS(OR-R),14400,49705,5
1,72,DA(HI-D),OS(ME-R),14400,14661,0
1,73,DA(HI-D),DS(MI-D),14400,29732,0
1,74,DA(HI-D),TS(AK-R),14400,12109,5
1,75,DA(HI-D),JS(NH-R),14400,29740,0
1,76,DA(HI-D),JT(MO-R),14400,29369,0
1,77,DA(HI-D),CT(WY-R),14400,15633,0
1,78,DA(HI-D),JW(VA-R),14400,14712,5
1,79,DA(HI-D),RW(OR-D),14400,14871,10
1,80,DA(HI-D),RB(UT-R),14400,49307,0
1,81,DA(HI-D),BC(CO-R),14400,95407,10
1,82,DA(HI-D),LC(ID-R),14400,14809,0
1,83,DA(HI-D),JG(NH-R),14400,14826,0
1,84,DA(HI-D),RL(IN-R),14400,14506,0
1,85,DA(HI-D),AS(PA-R),14400,14910,0
1,86,DA(HI-D),GV(OH-R),14400,49903,10
1,87,DA(HI-D),MB(MT-D),14400,14203,5
1,88,DA(HI-D),JB(LA-D),14400,13056,0
1,89,DA(HI-D),CD(CT-D),14400,14213,0
1,90,DA(HI-D),BG(FL-D),14400,15503,0
1,91,DA(HI-D),EH(SC-D),14400,11204,0
1,92,DA(HI-D),JK(MA-D),14400,14920,5
1,93,DA(HI-D),PL(VT-D),14400,14307,20
1,94,DA(HI-D),JR(WV-D),14400,14922,5
1,95,DA(HI-D),BF(TN-R),14400,49502,0
1,96,DA(HI-D),MM(KY-R),14400,14921,0
1,97,DA(HI-D),TD(SD-D),14400,14617,0
1,98,DA(HI-D),HR(NV-D),14400,15054,15
1,99,DA(HI-D),DI(HI-D),14400,4812,7
1,100,DA(HI-D),JR(RI-D),14400,29142,0
2,1,LA(TN-R),DA(HI-D),40304,14400,0
2,3,LA(TN-R),AA(CO-R),40304,29108,0
2,4,LA(TN-R),GA(VA-R),40304,29148,0
2,5,LA(TN-R),EB(IN-D),40304,49901,0
2,6,LA(TN-R),JB(DE-D),40304,14101,2
2,7,LA(TN-R),JB(NM-D),40304,14912,2
2,8,LA(TN-R),CB(MO-R),40304,15501,0
2,9,LA(TN-R),BB(CA-D),40304,15011,0
2,10,LA(TN-R),SB(KS-R),40304,29523,0
2,11,LA(TN-R),JB(KY-R),40304,15406,0
2,12,LA(TN-R),CB(MT-R),40304,15701,0
2,13,LA(TN-R),RB(WV-D),40304,1366,0
2,14,LA(TN-R),MC(WA-D),40304,39310,0
2,15,LA(TN-R),TC(DE-D),40304,15015,0
2,16,LA(TN-R),LC(RI-R),40304,49905,0
2,17,LA(TN-R),SC(GA-R),40304,29512,0
2,18,LA(TN-R),HC(NY-D),40304,40105,0
2,19,LA(TN-R),TC(MS-R),40304,14009,0
2,20,LA(TN-R),NC(MN-R),40304,40302,0
2,21,LA(TN-R),SC(ME-R),40304,49703,0
2,22,LA(TN-R),KC(ND-D),40304,15502,0
2,23,LA(TN-R),JC(TX-R),40304,40305,0
2,24,LA(TN-R),JC(NJ-D),40304,40104,2
2,25,LA(TN-R),MC(ID-R),40304,29345,0
2,26,LA(TN-R),MD(MN-D),40304,40101,0
2,27,LA(TN-R),MD(OH-R),40304,15020,0
2,28,LA(TN-R),ED(NC-R),40304,40303,0
2,29,LA(TN-R),PD(NM-R),40304,14103,0
2,30,LA(TN-R),BD(ND-D),40304,14812,0
2,31,LA(TN-R),RD(IL-D),40304,15021,0
2,32,LA(TN-R),JE(NC-D),40304,49902,0
2,33,LA(TN-R),JE(NV-R),40304,29537,0
2,34,LA(TN-R),ME(WY-R),40304,49706,5
2,35,LA(TN-R),RF(WI-D),40304,49309,0
2,36,LA(TN-R),DF(CA-D),40304,49300,0
2,37,LA(TN-R),PF(IL-R),40304,49900,0
2,38,LA(TN-R),LG(SC-R),40304,29566,0
2,39,LA(TN-R),CG(IA-R),40304,14226,0
2,40,LA(TN-R),CH(NE-R),40304,49704,0
2,41,LA(TN-R),TH(IA-D),40304,14230,0
2,42,LA(TN-R),OH(UT-R),40304,14503,0
2,43,LA(TN-R),KH(TX-R),40304,49306,0
2,44,LA(TN-R),JI(OK-R),40304,15424,0
2,45,LA(TN-R),JJ(VT-I),40304,94240,0
2,46,LA(TN-R),TJ(SD-D),40304,15425,0
2,47,LA(TN-R),EK(MA-D),40304,10808,5
2,48,LA(TN-R),HK(WI-D),40304,15703,0
2,49,LA(TN-R),JK(AZ-R),40304,15429,0
2,50,LA(TN-R),ML(LA-D),40304,49702,5
2,51,LA(TN-R),FL(NJ-D),40304,14914,0
2,52,LA(TN-R),CL(MI-D),40304,14709,2
2,53,LA(TN-R),JL(CT-D),40304,15704,0
2,54,LA(TN-R),BL(AR-D),40304,29305,0
2,55,LA(TN-R),TL(MS-R),40304,14031,0
2,56,LA(TN-R),JM(AZ-R),40304,15039,0
2,57,LA(TN-R),BM(MD-D),40304,14440,0
2,58,LA(TN-R),ZM(GA-D),40304,49904,0
2,59,LA(TN-R),LM(AK-R),40304,40300,0
2,60,LA(TN-R),PM(WA-D),40304,49308,5
2,61,LA(TN-R),BN(FL-D),40304,14651,0
2,62,LA(TN-R),EN(NE-D),40304,40103,0
2,63,LA(TN-R),DN(OK-R),40304,14908,0
2,64,LA(TN-R),MP(AR-D),40304,40301,0
2,65,LA(TN-R),PR(KS-R),40304,14852,0
2,66,LA(TN-R),RS(PA-R),40304,29141,0
2,67,LA(TN-R),PS(MD-D),40304,13039,0
2,68,LA(TN-R),CS(NY-D),40304,14858,0
2,69,LA(TN-R),JS(AL-R),40304,49700,0
2,70,LA(TN-R),RS(AL-R),40304,94659,0
2,71,LA(TN-R),GS(OR-R),40304,49705,0
2,72,LA(TN-R),OS(ME-R),40304,14661,0
2,73,LA(TN-R),DS(MI-D),40304,29732,2
2,74,LA(TN-R),TS(AK-R),40304,12109,0
2,75,LA(TN-R),JS(NH-R),40304,29740,0
2,76,LA(TN-R),JT(MO-R),40304,29369,0
2,77,LA(TN-R),CT(WY-R),40304,15633,0
2,78,LA(TN-R),JW(VA-R),40304,14712,2
2,79,LA(TN-R),RW(OR-D),40304,14871,0
2,80,LA(TN-R),RB(UT-R),40304,49307,0
2,81,LA(TN-R),BC(CO-R),40304,95407,0
2,82,LA(TN-R),LC(ID-R),40304,14809,0
2,83,LA(TN-R),JG(NH-R),40304,14826,5
2,84,LA(TN-R),RL(IN-R),40304,14506,0
2,85,LA(TN-R),AS(PA-R),40304,14910,0
2,86,LA(TN-R),GV(OH-R),40304,49903,0
2,87,LA(TN-R),MB(MT-D),40304,14203,0
2,88,LA(TN-R),JB(LA-D),40304,13056,0
2,89,LA(TN-R),CD(CT-D),40304,14213,0
2,90,LA(TN-R),BG(FL-D),40304,15503,0
2,91,LA(TN-R),EH(SC-D),40304,11204,0
2,92,LA(TN-R),JK(MA-D),40304,14920,0
2,93,LA(TN-R),PL(VT-D),40304,14307,0
2,94,LA(TN-R),JR(WV-D),40304,14922,0
2,95,LA(TN-R),BF(TN-R),40304,49502,0
2,96,LA(TN-R),MM(KY-R),40304,14921,0
2,97,LA(TN-R),TD(SD-D),40304,14617,0
2,98,LA(TN-R),HR(NV-D),40304,15054,0
2,99,LA(TN-R),DI(HI-D),40304,4812,0
2,100,LA(TN-R),JR(RI-D),40304,29142,0
3,1,AA(CO-R),DA(HI-D),29108,14400,5
3,2,AA(CO-R),LA(TN-R),29108,40304,0
3,4,AA(CO-R),GA(VA-R),29108,29148,5
3,5,AA(CO-R),EB(IN-D),29108,49901,0
3,6,AA(CO-R),JB(DE-D),29108,14101,0
3,7,AA(CO-R),JB(NM-D),29108,14912,0
3,8,AA(CO-R),CB(MO-R),29108,15501,0
3,9,AA(CO-R),BB(CA-D),29108,15011,0
3,10,AA(CO-R),SB(KS-R),29108,29523,5
3,11,AA(CO-R),JB(KY-R),29108,15406,0
3,12,AA(CO-R),CB(MT-R),29108,15701,10
3,13,AA(CO-R),RB(WV-D),29108,1366,0
3,14,AA(CO-R),MC(WA-D),29108,39310,0
3,15,AA(CO-R),TC(DE-D),29108,15015,0
3,16,AA(CO-R),LC(RI-R),29108,49905,0
3,17,AA(CO-R),SC(GA-R),29108,29512,5
3,18,AA(CO-R),HC(NY-D),29108,40105,0
3,19,AA(CO-R),TC(MS-R),29108,14009,5
3,20,AA(CO-R),NC(MN-R),29108,40302,15
3,21,AA(CO-R),SC(ME-R),29108,49703,0
3,22,AA(CO-R),KC(ND-D),29108,15502,0
3,23,AA(CO-R),JC(TX-R),29108,40305,0
3,24,AA(CO-R),JC(NJ-D),29108,40104,0
3,25,AA(CO-R),MC(ID-R),29108,29345,15
3,26,AA(CO-R),MD(MN-D),29108,40101,5
